state_name,county_name,trump,biden,other,population_2010,persons_under_5_years_percent_2014,persons_under_18_years_percent_2014,age_65_plus,female_persons_percent_2014,living_in_same_house_1_year__over_percent_20092013,foreign_born_persons_percent_20092013,non_english,edu_highschool,edu_batchelors,veterans_20092013,mean_travel_time_to_work_minutes_workers_age_16_20092013,housing_units_2014,homeownership_rate_20092013,housing_units_in_multiunit_structures_percent_20092013,median_value_of_owneroccupied_housing_units_20092013,households_20092013,persons_per_household_20092013,income,median_household_income_20092013,poverty,private_nonfarm_establishments_2013,private_nonfarm_employment__2013,private_nonfarm_employment_percent_change_20122013,nonemployer_establishments_2013,total_number_of_firms_2007,womenowned_firms_percent_2007,manufacturers_shipments_2007_1000,merchant_wholesaler_sales_2007_1000,retail_sales_2007_1000,retail_sales_per_capita_2007,accommodation_and_food_services_sales_2007_1000,building_permits_2014,land_area_in_square_miles_2010,density
Alabama,Autauga County,19764,7450,425,54571.0,6.0,25.2,13.8,51.4,85.0,1.6,3.5,85.6,20.9,5922.0,26.2,22751.0,76.8,8.3,136200.0,20071.0,2.71,24571.0,53682.0,12.1,817.0,10120.0,2.1,2947.0,4067.0,31.7,0.0,0.0,598175.0,12003.0,88157.0,131.0,594.44,91.8
Alabama,Baldwin County,83055,24344,1546,182265.0,5.6,22.2,18.7,51.2,82.1,3.6,5.5,89.1,27.7,19346.0,25.9,107374.0,72.6,24.4,168600.0,73283.0,2.52,26766.0,50221.0,13.9,4871.0,54988.0,3.7,16508.0,19035.0,27.3,1410273.0,0.0,2966489.0,17166.0,436955.0,1384.0,1589.78,114.6
Alabama,Barbour County,5605,4772,80,27457.0,5.7,21.2,16.5,46.6,84.8,2.9,5.0,73.7,13.4,2120.0,24.6,11799.0,67.7,10.6,89200.0,9200.0,2.66,16829.0,32911.0,26.7,464.0,6611.0,-5.6,1546.0,1667.0,27.0,0.0,0.0,188337.0,6334.0,0.0,8.0,884.88,31.0
Alabama,Bibb County,7508,1982,83,22915.0,5.3,21.0,14.8,45.9,86.6,1.2,2.1,77.5,12.1,1327.0,27.6,8978.0,79.0,7.3,90500.0,7091.0,3.03,17427.0,36447.0,18.1,275.0,3145.0,7.5,1126.0,1385.0,0.0,0.0,0.0,124707.0,5804.0,10757.0,19.0,622.58,36.8
Alabama,Blount County,24595,2627,237,57322.0,6.1,23.6,17.0,50.5,88.7,4.3,7.3,77.0,12.1,4540.0,33.9,23826.0,81.0,4.5,117100.0,21108.0,2.7,20730.0,44145.0,15.8,660.0,6798.0,3.4,3563.0,4458.0,23.2,341544.0,0.0,319700.0,5622.0,20941.0,3.0,644.78,88.9
Alabama,Bullock County,1143,3439,21,10914.0,6.3,21.4,14.9,45.3,84.7,5.4,5.2,67.8,12.5,636.0,26.9,4461.0,74.3,8.7,70600.0,3741.0,2.73,18628.0,32033.0,21.6,112.0,0.0,0.0,470.0,417.0,38.8,0.0,0.0,43810.0,3995.0,3670.0,1.0,622.81,17.5
Alabama,Butler County,5448,3953,65,20947.0,6.1,23.6,18.0,53.6,94.6,0.8,1.7,76.3,14.0,1497.0,24.0,9916.0,70.3,13.3,74700.0,8235.0,2.47,17403.0,29918.0,28.4,393.0,5711.0,2.7,1095.0,1769.0,0.0,399132.0,56712.0,229277.0,11326.0,28427.0,2.0,776.83,27.0
Alabama,Calhoun County,34964,15118,661,118572.0,5.7,22.2,16.0,51.8,83.6,2.4,4.5,78.6,16.1,11385.0,22.5,53289.0,68.7,13.8,100600.0,45196.0,2.54,20828.0,39962.0,21.9,2311.0,34871.0,0.6,6352.0,8713.0,24.7,2679991.0,0.0,1542981.0,13678.0,186533.0,114.0,605.87,195.7
Alabama,Chambers County,8748,6356,165,34215.0,5.9,21.4,18.3,52.3,85.8,1.1,1.3,75.1,11.8,2691.0,24.6,16894.0,67.9,11.1,81200.0,13722.0,2.46,19291.0,32402.0,24.1,515.0,6431.0,-0.2,2354.0,1981.0,29.3,667283.0,0.0,264650.0,7620.0,23237.0,8.0,596.53,57.4
Alabama,Cherokee County,10562,1619,94,25989.0,4.8,20.4,20.9,50.2,90.6,0.7,1.1,78.3,12.8,2174.0,26.9,16241.0,76.1,4.6,99400.0,11656.0,2.2,22030.0,34907.0,21.2,379.0,3864.0,5.5,1560.0,2180.0,14.5,307439.0,62293.0,186321.0,7613.0,13948.0,2.0,553.7,46.9
Alabama,Chilton County,16052,3056,152,43643.0,6.4,24.2,15.2,50.8,88.8,5.2,7.4,76.0,12.9,3308.0,31.8,19221.0,74.5,4.1,102600.0,16232.0,2.67,20701.0,41250.0,19.5,703.0,7396.0,8.8,2719.0,0.0,0.0,0.0,155139.0,359910.0,8496.0,34073.0,78.0,692.85,63.0
Alabama,Choctaw County,4294,3126,41,13859.0,4.9,20.6,20.8,52.5,91.4,0.3,1.3,75.2,11.8,938.0,33.4,7231.0,83.7,4.0,58200.0,5518.0,2.45,20323.0,33941.0,21.5,255.0,2900.0,1.4,809.0,1102.0,44.1,0.0,52904.0,84633.0,5969.0,11345.0,0.0,913.5,15.2
Alabama,Clarke County,7310,5730,62,25833.0,5.6,22.6,18.0,52.8,92.5,0.3,1.3,78.3,11.2,1583.0,25.5,12583.0,72.9,6.8,85600.0,9631.0,2.63,18979.0,29357.0,29.3,586.0,6648.0,3.7,1640.0,2374.0,28.6,571454.0,85803.0,344311.0,13034.0,23596.0,11.0,1238.47,20.9
Alabama,Clay County,5589,1262,62,13932.0,5.3,21.6,19.4,50.6,88.3,2.2,3.3,76.5,9.2,1076.0,30.7,6736.0,75.0,10.0,79900.0,5649.0,2.38,18694.0,34002.0,19.0,190.0,2993.0,4.6,792.0,1005.0,0.0,330878.0,0.0,70558.0,5123.0,4352.0,0.0,603.96,23.1
Alabama,Cleburne County,6472,672,66,14972.0,5.7,23.3,18.4,50.4,89.1,1.5,2.3,76.0,9.0,989.0,31.4,6690.0,77.6,6.3,100800.0,5601.0,2.64,19108.0,38019.0,18.4,152.0,1548.0,-4.8,930.0,1280.0,17.7,0.0,5888.0,133407.0,9080.0,4134.0,1.0,560.1,26.7
Alabama,Coffee County,16832,5050,298,49948.0,6.1,23.7,15.9,50.5,83.3,5.1,7.5,82.4,22.5,6066.0,21.3,22852.0,69.9,13.5,131000.0,18820.0,2.65,23380.0,43768.0,18.6,954.0,12762.0,0.3,2602.0,4032.0,29.3,613758.0,131594.0,639623.0,13665.0,50080.0,58.0,678.97,73.6
Alabama,Colbert County,17311,7057,300,54428.0,5.7,21.7,18.5,51.8,87.2,2.0,2.6,83.5,17.7,4376.0,22.7,26192.0,72.1,12.3,99300.0,22260.0,2.42,21572.0,39077.0,17.9,1226.0,19820.0,6.2,3630.0,4757.0,22.8,2083166.0,351388.0,821284.0,15040.0,61935.0,143.0,592.62,91.8
Alabama,Conecuh County,3435,2951,33,13228.0,5.5,21.4,20.4,51.9,96.9,0.6,2.2,77.3,8.8,1101.0,27.2,7055.0,79.1,7.2,69600.0,4994.0,2.61,15605.0,24658.0,32.7,194.0,2197.0,-1.5,756.0,980.0,23.0,183544.0,76736.0,71232.0,5430.0,8667.0,3.0,850.16,15.6
Alabama,Coosa County,3626,1794,52,11539.0,4.8,18.3,18.5,49.5,87.2,1.8,3.3,75.0,9.8,934.0,30.2,6458.0,83.0,3.0,75100.0,4506.0,2.42,18493.0,37277.0,20.9,93.0,992.0,3.9,367.0,545.0,0.0,89585.0,31647.0,20531.0,1904.0,575.0,0.0,650.93,17.7
Alabama,Covington County,14579,2717,122,37765.0,5.9,22.1,19.8,51.6,86.7,1.4,2.1,78.4,14.2,3433.0,23.3,18778.0,75.1,6.0,88800.0,15041.0,2.48,20391.0,35869.0,20.0,834.0,10824.0,0.7,2201.0,2957.0,0.0,561168.0,338692.0,424873.0,11544.0,30271.0,8.0,1030.46,36.6
Alabama,Crenshaw County,4864,1700,53,13906.0,6.1,22.7,18.0,51.1,86.3,2.3,3.2,76.7,12.7,1098.0,30.3,6708.0,69.9,8.0,70800.0,5601.0,2.46,21343.0,36275.0,19.1,211.0,3139.0,1.0,811.0,1027.0,30.2,270809.0,131874.0,75456.0,5491.0,5640.0,2.0,608.84,22.8
Alabama,Cullman County,36804,4454,493,80406.0,5.9,22.5,17.6,50.5,87.0,3.0,4.6,79.8,14.8,6167.0,26.4,37131.0,75.0,8.2,106100.0,31342.0,2.53,20760.0,38847.0,18.8,1714.0,22185.0,3.6,5549.0,7873.0,23.9,1393437.0,0.0,867058.0,10757.0,102291.0,77.0,734.84,109.4
Alabama,Dale County,14281,5154,264,50251.0,6.3,23.6,15.4,50.5,78.4,3.7,6.3,84.1,17.0,6730.0,20.9,22832.0,61.1,13.6,99400.0,19345.0,2.52,22685.0,44889.0,17.4,766.0,11924.0,-1.6,2444.0,2951.0,0.0,114991.0,69341.0,332503.0,6889.0,37229.0,17.0,561.15,89.6
Alabama,Dallas County,5523,12228,110,43820.0,6.7,25.2,15.6,53.7,86.7,0.8,1.3,77.5,14.2,2897.0,22.0,20240.0,60.9,19.3,75700.0,16173.0,2.63,17245.0,26519.0,35.5,757.0,10420.0,-1.0,2179.0,3148.0,28.8,1174763.0,0.0,437359.0,10223.0,33708.0,17.0,978.7,44.8
Alabama,DeKalb County,24744,4271,307,71109.0,6.2,24.7,15.7,50.7,90.9,7.5,11.2,70.6,10.7,4371.0,23.3,31035.0,76.3,6.7,93400.0,24923.0,2.82,18149.0,37851.0,19.9,1082.0,16841.0,3.9,4679.0,5908.0,25.8,1831626.0,0.0,635185.0,9303.0,67915.0,31.0,777.09,91.5
Alabama,Elmore County,30089,10304,498,79303.0,5.9,23.0,14.0,51.5,85.4,2.1,3.6,86.6,21.0,8364.0,28.2,33326.0,75.5,8.1,144600.0,28324.0,2.62,23856.0,54766.0,13.4,1135.0,14056.0,-2.3,4850.0,6513.0,28.3,766344.0,104885.0,618313.0,7982.0,47884.0,259.0,618.49,128.2
Alabama,Escambia County,10844,4894,123,38319.0,6.1,22.0,16.7,48.8,93.4,0.6,1.4,76.2,11.7,2995.0,23.5,16402.0,72.5,9.0,84100.0,13681.0,2.59,16540.0,30687.0,25.4,723.0,9977.0,1.0,2111.0,2765.0,21.3,665336.0,93125.0,379587.0,10089.0,31909.0,26.0,945.08,40.5
Alabama,Etowah County,35343,11487,630,104430.0,5.7,22.1,17.3,51.6,85.0,2.2,3.1,81.8,14.8,8638.0,23.9,47505.0,72.4,12.1,100000.0,40217.0,2.55,20204.0,38013.0,19.0,2008.0,29796.0,-0.5,6988.0,9147.0,25.7,1252962.0,518424.0,1114841.0,10801.0,137966.0,79.0,534.99,195.2
Alabama,Fayette County,7295,1390,71,17241.0,5.4,21.7,19.6,50.5,87.8,0.6,0.8,74.9,13.2,1221.0,27.5,8404.0,74.9,8.7,71400.0,6956.0,2.41,18494.0,33838.0,19.9,306.0,3323.0,-3.8,1073.0,1378.0,24.3,186247.0,22463.0,130362.0,7433.0,10869.0,0.0,627.66,27.5
Alabama,Franklin County,10364,2085,115,31704.0,6.6,24.3,15.9,50.3,86.4,8.4,13.2,72.5,11.0,1860.0,26.2,14048.0,69.5,12.0,82300.0,12437.0,2.52,18888.0,36415.0,21.9,510.0,9369.0,-8.0,1863.0,2357.0,23.2,671954.0,67398.0,269096.0,8786.0,25389.0,13.0,633.82,50.0
Alabama,Geneva County,10844,1592,102,26790.0,5.8,22.2,19.2,50.8,82.7,1.8,3.0,77.2,10.4,2336.0,25.6,12646.0,72.1,5.6,78100.0,10945.0,2.43,20199.0,35625.0,21.2,400.0,3791.0,2.8,1584.0,1736.0,0.0,153342.0,231687.0,170044.0,6612.0,10402.0,8.0,574.41,46.6
Alabama,Greene County,875,3880,16,9045.0,5.9,23.3,17.9,52.5,92.4,0.2,1.4,76.2,12.8,502.0,28.0,4988.0,73.2,8.9,72700.0,3264.0,2.72,14930.0,24226.0,32.9,99.0,1379.0,16.3,506.0,657.0,36.1,0.0,0.0,33639.0,3697.0,1226.0,4.0,647.11,14.0
Alabama,Hale County,3190,4687,45,15760.0,6.2,23.3,17.3,52.8,90.6,1.2,2.7,77.4,12.8,995.0,27.1,7639.0,78.0,6.1,79900.0,5969.0,2.56,18812.0,30051.0,26.6,195.0,1966.0,0.2,762.0,882.0,0.0,0.0,0.0,86735.0,4794.0,3136.0,8.0,643.94,24.5
Alabama,Henry County,6593,2589,84,17302.0,5.5,21.2,20.8,51.8,91.9,2.9,5.0,80.1,16.6,1497.0,26.0,8961.0,77.7,4.6,97000.0,7001.0,2.44,21924.0,41650.0,14.4,293.0,2754.0,-2.4,1034.0,1091.0,18.2,425821.0,0.0,92574.0,5559.0,7415.0,17.0,561.75,30.8
Alabama,Houston County,32384,12738,628,101547.0,6.2,23.7,16.1,52.1,86.3,2.4,4.4,83.9,19.7,9254.0,20.8,46442.0,64.6,14.6,122300.0,39250.0,2.58,23316.0,40948.0,18.0,2702.0,43139.0,0.5,6819.0,10151.0,25.5,1310677.0,0.0,1909615.0,19608.0,177224.0,311.0,579.82,175.1
Alabama,Jackson County,19644,3709,249,53227.0,5.4,21.7,18.6,50.7,91.2,2.2,3.4,74.6,13.0,4000.0,26.4,24755.0,75.2,6.9,93400.0,20765.0,2.53,20486.0,37634.0,16.0,856.0,12440.0,4.2,3098.0,4337.0,26.8,1525396.0,0.0,410988.0,7784.0,39315.0,39.0,1077.87,49.4
Alabama,Jefferson County,138443,180936,5296,658466.0,6.6,23.1,14.3,52.8,83.8,4.1,5.9,87.4,30.0,46613.0,23.4,305040.0,64.7,24.2,140800.0,259634.0,2.48,26906.0,45429.0,18.0,16232.0,319199.0,2.0,44987.0,55470.0,29.8,10260950.0,13756797.0,11066328.0,16730.0,1268154.0,2280.0,1111.28,592.5
Alabama,Lamar County,6168,978,41,14564.0,5.0,21.7,20.5,51.2,87.8,0.6,1.0,76.1,9.5,1127.0,25.7,7326.0,71.5,9.0,66800.0,6084.0,2.32,19026.0,36028.0,22.3,241.0,2943.0,4.6,932.0,1340.0,25.8,234908.0,0.0,70780.0,4887.0,6008.0,0.0,604.85,24.1
Alabama,Lauderdale County,31578,11872,699,92709.0,5.2,20.5,18.2,52.1,86.1,2.1,3.0,83.8,21.1,7000.0,24.5,44353.0,69.9,15.4,114300.0,38458.0,2.36,23510.0,42844.0,17.2,1967.0,25839.0,3.4,6576.0,8317.0,27.6,1083658.0,514555.0,1131585.0,12783.0,136587.0,54.0,667.7,138.8
Alabama,Lawrence County,12266,3544,147,34339.0,5.3,21.7,16.8,51.3,90.5,1.0,1.9,77.1,11.9,1891.0,27.8,15171.0,80.1,5.9,94200.0,13382.0,2.52,20181.0,38551.0,17.5,407.0,4232.0,-6.3,1990.0,2289.0,0.0,0.0,23787.0,166958.0,4889.0,22719.0,0.0,690.68,49.7
Alabama,Lee County,42019,27600,1361,140247.0,5.8,21.6,10.3,50.7,76.4,5.1,6.9,86.7,32.5,10045.0,21.4,65566.0,61.7,23.8,146900.0,55864.0,2.49,23506.0,43542.0,22.0,2500.0,38782.0,3.4,9361.0,10319.0,28.2,0.0,0.0,1451634.0,11099.0,201205.0,943.0,607.54,230.8
Alabama,Limestone County,34337,13510,907,82782.0,5.9,23.4,13.8,49.7,88.1,4.3,6.4,81.5,22.7,6964.0,26.3,35445.0,76.6,8.9,134500.0,31794.0,2.56,25020.0,48619.0,14.7,1308.0,15305.0,1.3,5417.0,5914.0,25.8,947299.0,248292.0,723200.0,9785.0,68140.0,140.0,559.94,147.8
Alabama,Lowndes County,1835,4968,27,11299.0,6.7,23.1,17.4,52.3,90.4,0.2,0.7,73.9,14.4,626.0,30.4,5089.0,74.9,9.5,71400.0,4212.0,2.61,18368.0,26230.0,26.7,98.0,1835.0,-1.3,685.0,682.0,35.2,1156888.0,0.0,103636.0,8184.0,595.0,5.0,715.91,15.8
Alabama,Macon County,1539,7084,74,21452.0,4.7,18.3,16.8,54.2,83.8,1.1,4.2,80.0,19.6,1662.0,23.1,10217.0,65.7,15.5,75700.0,8107.0,2.29,16826.0,30724.0,27.3,217.0,5381.0,3.2,1166.0,1584.0,0.0,0.0,0.0,87509.0,3932.0,19354.0,1.0,608.89,35.2
Alabama,Madison County,102395,86885,4675,334811.0,5.8,22.4,13.7,51.2,84.7,5.4,7.1,90.0,38.5,34203.0,21.0,154452.0,69.3,21.4,164500.0,132975.0,2.5,31933.0,58434.0,12.8,8095.0,153304.0,0.8,22681.0,26467.0,29.2,8650700.0,2970410.0,4438653.0,14145.0,596324.0,2677.0,801.59,417.7
Alabama,Marengo County,5337,5476,69,21027.0,6.0,23.0,18.6,53.2,87.4,0.7,1.2,83.7,17.4,1462.0,22.4,10207.0,71.3,9.1,89600.0,8464.0,2.42,22072.0,35079.0,24.0,478.0,5876.0,1.8,1019.0,1604.0,21.4,542135.0,64589.0,197221.0,9274.0,16684.0,0.0,976.88,21.5
Alabama,Marion County,12190,1457,139,30776.0,5.4,21.2,20.1,50.4,86.6,1.0,2.5,74.6,9.5,2287.0,24.0,14704.0,75.9,9.6,78700.0,12700.0,2.34,19576.0,32888.0,20.9,547.0,8006.0,5.0,1828.0,2224.0,0.0,794483.0,162519.0,209924.0,7116.0,19081.0,0.0,742.29,41.5
Alabama,Marshall County,33094,5880,518,93019.0,6.6,24.5,16.3,50.9,86.1,8.0,11.5,76.2,15.2,7192.0,23.9,40328.0,71.9,9.5,114000.0,34250.0,2.7,20382.0,39526.0,19.5,1795.0,30306.0,0.1,6781.0,8700.0,24.9,3029491.0,1138701.0,1357696.0,15434.0,103539.0,28.0,565.84,164.4
Alabama,Mobile County,100605,78754,2424,412992.0,6.7,24.0,14.5,52.2,85.8,3.2,5.0,83.9,20.7,33586.0,23.9,181611.0,66.6,17.4,124300.0,155178.0,2.6,22501.0,43028.0,19.8,8567.0,147574.0,-0.4,29500.0,34836.0,29.5,12407151.0,3268730.0,5225494.0,12895.0,562436.0,746.0,1229.44,335.9
Alabama,Monroe County,6129,4425,66,23068.0,5.5,23.4,17.9,52.6,91.8,0.9,1.3,76.1,10.6,1237.0,23.3,11274.0,74.0,6.8,76900.0,8333.0,2.71,15749.0,29203.0,28.6,393.0,5029.0,-1.8,1265.0,2257.0,24.5,1251911.0,92815.0,212618.0,9342.0,14796.0,0.0,1025.68,22.5
Alabama,Montgomery County,33122,64065,1289,229363.0,6.8,24.0,13.3,52.6,78.1,4.3,5.7,85.6,31.5,20008.0,19.3,103434.0,61.4,22.4,122900.0,88844.0,2.49,24975.0,44790.0,21.2,5533.0,101517.0,1.2,15129.0,21463.0,30.9,7956627.0,3275567.0,3238175.0,14351.0,402861.0,734.0,784.25,292.5
Alabama,Morgan County,39504,13159,819,119490.0,6.0,23.1,15.9,50.8,86.4,5.1,8.0,81.4,19.9,9518.0,23.7,51496.0,71.5,15.1,120500.0,46192.0,2.55,23764.0,44800.0,15.7,2589.0,42569.0,2.0,7506.0,10034.0,21.3,0.0,1213925.0,1637628.0,14222.0,154700.0,136.0,579.34,206.3
Alabama,Perry County,1336,3849,30,10591.0,5.5,22.4,17.9,53.4,92.2,0.5,0.8,70.2,10.4,670.0,26.8,4691.0,67.0,11.0,58000.0,3400.0,2.84,13716.0,28209.0,25.6,125.0,1570.0,4.0,488.0,854.0,41.3,0.0,10360.0,34121.0,3181.0,2632.0,0.0,719.66,14.7
Alabama,Pickens County,5590,4017,52,19746.0,5.2,20.5,17.8,50.6,91.9,0.3,2.6,79.7,11.0,1610.0,29.3,9441.0,72.0,10.7,81900.0,7926.0,2.42,17153.0,28741.0,27.2,266.0,2707.0,-1.2,1073.0,1268.0,10.0,107619.0,36581.0,113222.0,5805.0,6302.0,3.0,881.41,22.4
Alabama,Pike County,8020,5613,163,32899.0,5.7,19.4,14.1,51.9,79.3,4.0,5.8,81.0,23.0,2516.0,18.7,15807.0,57.8,18.5,101000.0,12959.0,2.4,19715.0,33090.0,27.6,628.0,11009.0,1.4,1970.0,2527.0,0.0,0.0,0.0,367926.0,12189.0,45692.0,44.0,672.09,48.9
Alabama,Randolph County,8548,2203,73,22913.0,5.7,22.0,19.6,51.4,87.9,1.7,3.4,72.6,11.1,1598.0,26.8,11928.0,72.3,5.7,88600.0,9013.0,2.48,19830.0,35213.0,24.5,340.0,3481.0,0.0,1388.0,1550.0,0.0,401677.0,26751.0,161410.0,7209.0,9241.0,0.0,580.55,39.5
Alabama,Russell County,9796,11078,234,52947.0,7.6,25.3,12.5,51.3,81.7,2.2,5.0,80.4,16.0,5977.0,23.6,26787.0,61.3,19.8,104400.0,21142.0,2.6,19678.0,36143.0,22.0,783.0,10489.0,-1.9,3523.0,3823.0,32.4,0.0,0.0,428236.0,8526.0,56392.0,244.0,641.14,82.6
Alabama,Shelby County,79428,33036,1975,195085.0,6.0,24.4,13.0,51.2,86.6,6.0,8.3,91.2,40.3,13991.0,29.0,83498.0,79.0,12.1,193000.0,74144.0,2.64,33313.0,68770.0,7.9,4845.0,76137.0,2.1,15634.0,18393.0,30.5,1723017.0,4385596.0,2520488.0,13737.0,301893.0,896.0,784.93,248.5
Alabama,St. Clair County,36119,7698,529,83593.0,6.1,23.0,15.3,50.1,86.8,1.8,2.5,82.0,15.5,6928.0,30.0,35844.0,81.5,5.1,134600.0,31353.0,2.63,23872.0,50786.0,15.2,1266.0,15265.0,1.0,5172.0,6061.0,28.1,985409.0,317458.0,581324.0,7404.0,70254.0,80.0,631.9,132.3
Alabama,Sumter County,1598,4639,45,13763.0,4.8,19.7,16.3,55.0,87.9,0.9,1.9,75.5,14.9,706.0,23.4,6748.0,64.7,16.3,74100.0,5060.0,2.57,14156.0,22186.0,38.0,202.0,2966.0,8.1,823.0,730.0,0.0,0.0,76499.0,59636.0,4494.0,8199.0,3.0,903.89,15.2
Alabama,Talladega County,22210,13092,289,82291.0,5.5,22.3,16.1,51.4,85.0,1.6,2.8,78.9,13.0,6691.0,23.9,37177.0,71.2,11.6,92600.0,31486.0,2.5,19410.0,35439.0,22.9,1230.0,23763.0,4.8,3988.0,4872.0,26.6,9054200.0,0.0,730728.0,9113.0,67078.0,65.0,736.78,111.7
Alabama,Tallapoosa County,14905,5815,168,41616.0,5.8,21.1,19.6,51.4,86.0,1.9,2.9,79.2,16.3,3631.0,23.9,22029.0,72.2,10.1,94900.0,16373.0,2.49,21434.0,39130.0,19.8,721.0,10771.0,4.1,2478.0,3528.0,35.0,0.0,0.0,362304.0,8881.0,28222.0,16.0,716.52,58.1
Alabama,Tuscaloosa County,50961,37514,1285,194656.0,6.0,21.1,11.7,51.7,81.2,3.5,5.8,86.6,27.0,12198.0,21.8,87795.0,64.4,27.9,153300.0,67882.0,2.76,22637.0,45408.0,18.9,4009.0,72917.0,3.0,11107.0,14729.0,22.5,10852479.0,760623.0,2445850.0,13664.0,327429.0,1375.0,1321.76,147.3
Alabama,Walker County,25947,4826,333,67023.0,5.8,22.1,18.2,51.4,85.3,1.2,1.4,76.4,10.5,5353.0,29.3,30669.0,75.0,5.7,82100.0,25751.0,2.55,20698.0,37566.0,20.9,1250.0,15669.0,4.1,3509.0,5365.0,23.8,314804.0,256377.0,903643.0,13162.0,73895.0,8.0,791.19,84.7
Alabama,Washington County,6554,2253,54,17581.0,4.9,22.5,17.0,51.2,91.3,0.9,1.9,80.5,9.5,1025.0,31.8,8377.0,86.5,2.0,83900.0,6620.0,2.59,20395.0,42156.0,18.4,217.0,5756.0,-4.7,1031.0,1288.0,25.6,1153449.0,32856.0,76343.0,4458.0,0.0,2.0,1080.21,16.3
Alabama,Wilcox County,1826,4036,22,11670.0,5.7,24.8,17.7,52.4,93.8,0.1,0.9,76.1,11.1,462.0,21.6,5615.0,74.5,5.7,67000.0,3866.0,2.9,13379.0,23642.0,39.2,189.0,1738.0,-1.1,613.0,928.0,37.6,0.0,21337.0,75708.0,6018.0,12949.0,0.0,888.5,13.1
Alabama,Winston County,10187,974,112,24484.0,5.0,20.9,20.0,50.9,83.4,1.1,1.8,72.7,10.4,1721.0,27.0,13406.0,74.9,5.3,82500.0,9489.0,2.52,18995.0,32900.0,24.0,439.0,6321.0,-4.3,1641.0,2380.0,19.6,797845.0,165638.0,166709.0,6853.0,16564.0,7.0,612.98,39.9
Alaska,ED 1,3429,3401,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 10,7813,2680,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 11,6968,3084,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 12,7707,2887,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 13,4557,2607,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 14,6632,4211,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 15,2602,2542,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 16,3460,4189,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 17,2693,3982,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 18,2678,4567,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 19,1928,3056,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 2,3596,2073,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 20,2277,4727,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 21,3632,5343,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 22,4585,4490,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 23,3543,3723,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 24,5309,4676,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 25,4323,4530,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 26,5162,4510,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 27,4267,4791,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 28,6099,6225,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 29,7450,2983,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 3,6028,1879,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 30,7181,2635,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 31,6956,5032,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 32,4427,3495,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 33,3057,7534,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 34,4541,5759,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 35,4767,5008,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 36,5111,3792,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 37,1492,1486,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 38,1646,3065,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 39,1748,3379,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 4,4660,5769,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,ED 40,1708,1951,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
